City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
469,oga,46.4631,10.347,65.08,85,92,4.88,IT,1624134345
470,tingi,-11.3,35.0333,56.43,82,26,2.08,TZ,1624134345
471,melioratorov,57.2107,65.6077,57.58,94,40,8.95,RU,1624134346
472,bairiki,1.3292,172.9752,81.3,72,38,0.31,KI,1624134346
473,doka,13.5167,35.7667,74.98,67,100,10.38,SD,1624134347
474,alofi,-19.0595,-169.9187,75.09,94,75,10.36,NU,1624134347
475,sosnovoborsk,56.1325,93.3589,65.75,89,99,4.59,RU,1624134348
476,port said,31.2565,32.2841,75.18,69,0,8.05,EG,1624134247
477,boden,65.8252,21.6886,50.0,89,100,5.23,SE,1624134348
478,lumphat,13.4878,106.9816,73.74,97,61,1.05,KH,1624134349
479,zheleznodorozhnyy,55.7503,38.0042,72.01,74,0,5.82,RU,1624134349
480,rio grande,-32.035,-52.0986,59.11,92,100,14.81,BR,1624134349
481,laiyang,36.9758,120.7136,73.72,46,100,6.31,CN,1624134350
482,berezovyy,51.6667,135.7,54.79,74,100,2.15,RU,1624134350
483,chazuta,-6.5742,-76.1367,85.05,95,84,1.16,PE,1624134351
484,rocha,-34.4833,-54.3333,51.37,93,95,6.04,UY,1624134351
485,lazaro cardenas,17.9583,-102.2,79.38,84,100,9.6,MX,1624134351
486,filingue,14.3521,3.3168,96.93,29,82,3.49,NE,1624134352
487,linxia,35.6003,103.2064,55.38,62,100,3.04,CN,1624134352
488,salalah,17.0151,54.0924,80.69,89,75,6.91,OM,1624134353
489,byron bay,-28.65,153.6167,60.75,77,57,14.38,AU,1624134239
490,tatawin,32.9297,10.4518,94.08,27,0,7.96,TN,1624134354
491,bardiyah,31.7561,25.0865,72.9,76,0,15.17,LY,1624134354
492,akyab,20.15,92.9,79.34,84,100,6.06,MM,1624134354
493,yuanping,38.7153,112.7575,64.2,30,100,3.71,CN,1624134355
494,tautira,-17.7333,-149.15,77.02,81,43,18.03,PF,1624134356
495,strezhevoy,60.7333,77.5889,42.78,91,100,4.88,RU,1624134356
496,dunedin,-45.8742,170.5036,45.81,91,100,1.01,NZ,1624134143
497,malinovskiy,61.1953,62.8397,55.94,95,90,10.47,RU,1624134357
498,leshukonskoye,64.8989,45.7622,45.3,85,15,3.33,RU,1624134357
499,langsa,4.4683,97.9683,74.39,93,100,2.64,ID,1624134357
500,cockburn town,21.4612,-71.1419,84.16,70,40,12.66,TC,1624134358
501,richards bay,-28.783,32.0377,62.28,77,0,7.63,ZA,1624134358
502,kalabo,-14.97,22.6814,58.8,44,5,5.28,ZM,1624134359
503,carutapera,-1.195,-46.02,81.46,77,100,8.46,BR,1624134359
504,ranong,9.9658,98.6348,79.75,85,61,6.26,TH,1624134360
505,evanston,42.0411,-87.6901,91.15,52,40,1.01,US,1624134360
506,batemans bay,-35.7167,150.1833,51.91,71,67,11.72,AU,1624134360
507,avera,33.194,-82.5271,78.31,86,100,4.74,US,1624134361
508,dungarpur,23.8333,73.7167,76.78,80,99,11.79,IN,1624134361
509,turukhansk,65.8167,87.9833,52.92,92,100,7.99,RU,1624134075
510,tezu,27.9167,96.1667,74.66,92,41,2.53,IN,1624134362
511,belaya gora,68.5333,146.4167,67.57,50,29,3.38,RU,1624134362
512,north vernon,39.0062,-85.6236,83.82,68,100,12.33,US,1624134363
513,edinburg,55.9521,-3.1965,60.49,79,0,1.01,GB,1624134363
514,marathon,44.9,-89.7668,79.48,40,75,8.05,US,1624134364
515,ryotsu,38.0833,138.4333,65.98,93,18,6.69,JP,1624134364
516,otane,-39.8833,176.6333,56.01,98,100,12.75,NZ,1624134252
517,ingham,42.6,-84.3833,79.3,73,75,6.91,US,1624134365
518,chifeng,42.2683,118.9636,59.45,54,2,6.91,CN,1624134365
519,itarema,-2.9248,-39.9167,80.96,75,44,12.21,BR,1624134366
520,dumai,1.6833,101.45,73.15,97,100,1.3,ID,1624134366
521,istisu,40.9457,48.0738,63.27,21,0,7.76,AZ,1624134366
522,presidencia roque saenz pena,-26.7852,-60.4388,62.62,46,6,7.11,AR,1624134367
523,kenai,60.5544,-151.2583,60.03,79,75,5.75,US,1624134367
524,goderich,43.7501,-81.7165,62.92,72,100,3.44,CA,1624134368
525,jhunjhunun,28.1307,75.4014,87.67,50,52,8.7,IN,1624134368
526,kyshtovka,56.555,76.6271,41.29,83,11,5.35,RU,1624134369
527,reforma,18.1,-91.0167,91.06,56,100,2.48,MX,1624134369
528,pokosnoye,55.5258,101.0536,54.09,91,21,1.97,RU,1624134369
529,marawi,7.9986,124.2928,64.65,92,100,3.47,PH,1624134370
530,cherdyn,60.403,56.4787,58.68,64,19,13.82,RU,1624134370
531,autazes,-3.5797,-59.1306,84.51,69,26,5.08,BR,1624134371
532,hayden,47.766,-116.7866,83.75,32,20,11.5,US,1624134371
533,bubaque,11.2833,-15.8333,79.77,80,100,18.45,GW,1624134371
534,nouadhibou,20.931,-17.0347,69.78,68,0,18.41,MR,1624134372
535,sioux lookout,50.1001,-91.917,62.98,67,90,4.61,CA,1624134372
536,celestun,20.8667,-90.4,88.59,56,60,4.14,MX,1624134373
537,nizhniy kuranakh,58.8353,125.4869,61.9,94,76,2.39,RU,1624134373
538,hrinova,48.5779,19.5257,64.6,84,1,2.48,SK,1624134374
539,qasigiannguit,68.8193,-51.1922,46.65,65,99,3.98,GL,1624134374
540,alta floresta,-9.8756,-56.0861,93.02,43,20,3.44,BR,1624134374
541,alanya,36.5438,31.9998,73.53,76,3,3.4,TR,1624134375
542,bouillante,16.1304,-61.7692,85.23,75,29,15.57,GP,1624134375
543,shirokiy,49.758,129.523,55.15,85,100,7.29,RU,1624134376
544,ibadan,7.3878,3.8964,75.56,84,48,5.97,NG,1624134376
545,kashi,39.4547,75.9797,72.61,20,0,15.66,CN,1624134376
546,rongcheng,30.634,117.8517,70.32,99,100,2.13,CN,1624134377
547,bella union,-30.2752,-57.6007,58.87,67,31,8.86,UY,1624134377
548,kurmanayevka,52.5093,52.0675,61.83,74,3,7.02,RU,1624134378
549,puerto escondido,15.85,-97.0667,86.83,54,40,6.91,MX,1624134378
550,dingle,10.9995,122.6711,76.01,88,100,3.09,PH,1624134379
551,tungor,53.3808,142.9564,54.05,61,0,5.68,RU,1624134379
552,flinders,-34.5833,150.8552,56.21,79,98,8.01,AU,1624134379
553,terney,45.0503,136.6092,49.78,90,100,15.99,RU,1624134380
554,luganville,-15.5333,167.1667,77.63,82,27,2.21,VU,1624134380
555,vila velha,-20.3297,-40.2925,67.95,94,75,2.3,BR,1624134381
